Time,Time Code,Country Name,Country Code,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.ZS]","Labor force participation rate, total (% of total population ages 15+) (national estimate) [SL.TLF.CACT.NE.ZS]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],"Employers, total (% of total employment) (modeled ILO estimate) [SL.EMP.MPYR.ZS]",Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS],"Employment to population ratio, 15+, total (%) (modeled ILO estimate) [SL.EMP.TOTL.SP.ZS]","Employment to population ratio, 15+, total (%) (national estimate) [SL.EMP.TOTL.SP.NE.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG]
2018,YR2018,World,WLD,59.94096313,..,26.87243798,3.354908327,22.82594899,50.3016134,56.52486519,56.98496072,5.699075945,5.911690176,..,3.288049781,2.161636506
2018,YR2018,Afghanistan,AFG,47.394,..,44.39712,2.308126,18.12015,37.48273,42.128,..,11.11,..,..,1.189228128,-1.688576593
2018,YR2018,Albania,ALB,59.3,59.3,37.28573,3.294396,19.74566,42.96861,52.006,52,12.3,12.3,..,4.019345617,4.276311551
2018,YR2018,Algeria,DZA,41.766,..,10.00731,4.636921,30.68305,59.30961,37.415,..,10.416,..,..,1.2,-0.707950481
2018,YR2018,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,2.671118531,4.874061125
2018,YR2018,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,1.58876549,-0.003870296
2018,YR2018,Angola,AGO,77.238,..,59.30486,4.756368,7.397115,33.29807,69.883,..,9.522,..,..,-1.316361689,-4.676669584
2018,YR2018,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,6.823762231,6.232667482
2018,YR2018,Argentina,ARG,59.6,59.6,7.832407,3.911271,20.21364,71.95396,54.105,54.1,9.22,9.22,..,-2.617396463,-3.601609757
2018,YR2018,Armenia,ARM,61.651,69.08,30.64513,0.8791025,16.82781,52.52706,53.507,59.95,13.21,13.21,..,5.2,5.769882149
2018,YR2018,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,5.257854913,4.738330384
2018,YR2018,Australia,AUS,65.63,65.64,2.616846,5.814489,19.88763,77.49549,62.152,62.17,5.3,5.3,..,2.883045123,1.348282752
2018,YR2018,Austria,AUT,61.37,61.32,3.694112,4.567778,25.43544,70.87047,58.394,58.3,4.85,4.93,..,2.425385361,1.92771306
2018,YR2018,Azerbaijan,AZE,65.675,66.3,35.4523,12.73107,14.67404,49.87367,62.431,63,4.94,4.9,..,1.5,0.624486168
2018,YR2018,"Bahamas, The",BHS,73.532,..,3.355695,2.808685,11.59431,85.04999,66.178,..,10,10,..,1.533237259,0.804149057
2018,YR2018,Bahrain,BHR,72.291,..,1.010303,1.62389,35.20015,63.78955,71.435,..,1.185,..,..,2.111130473,0.016786109
2018,YR2018,Bangladesh,BGD,58.473,..,39.42393,4.846911,20.66612,39.90997,55.911,..,4.38,..,..,7.31941263,6.080237769
2018,YR2018,Barbados,BRB,63.57,63.57,3.095848,0.742406,18.24048,78.66367,58.281,58.28,8.32,8.32,..,-1.0271391,-1.204427376
2018,YR2018,Belarus,BLR,63.636,70.92,8.73278,0.8849462,31.69148,59.57573,60.607,67.54,4.76,4.76,..,3.149639499,3.37043437
2018,YR2018,Belgium,BEL,54.19,54.19,0.9942818,3.789862,21.06258,77.94312,50.966,50.96,5.95,5.95,..,1.792945193,1.330652227
2018,YR2018,Belize,BLZ,64.618,..,17.4261,4.231085,17.48694,65.08696,59.568,..,7.814,..,..,1.103448276,-0.847617048
2018,YR2018,Benin,BEN,62.74,62.74,30.61307,1.423065,21.37646,48.01049,61.818,61.82,1.47,1.47,..,6.697259461,3.624268216
2018,YR2018,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,-0.4328013,-0.5028993
2018,YR2018,Bhutan,BTN,63.244,62.6,56.53483,0.0965682,9.900968,33.5642,61.125,60.51,3.35,3.35,..,3.055129837,2.247154987
2018,YR2018,Bolivia,BOL,71.8,71.8,31.07002,4.934545,19.58149,49.34846,69.273,69.27,3.52,3.52,..,4.223623653,2.684797339
2018,YR2018,Bosnia and Herzegovina,BIH,46.011,41.91,15.72489,4.915025,32.13438,52.14073,37.545,34.19,18.4,18.4,..,3.827499205,5.045838146
2018,YR2018,Botswana,BWA,63.381,..,19.8096,2.3826,15.44668,64.74372,50.808,..,19.838,..,..,4.189846946,2.083064062
2018,YR2018,Brazil,BRA,63.86,64.23,9.152946,4.85201,20.43067,70.41639,55.903,56.31,12.46,12.33,..,1.783666762,0.978938493
2018,YR2018,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..
2018,YR2018,Brunei Darussalam,BRN,65.39,65.39,1.060607,2.767325,19.40443,79.53496,59.701,59.71,8.7,8.7,..,0.052237791,-0.868860057
2018,YR2018,Bulgaria,BGR,55.32,55.32,6.577581,3.716769,30.11346,63.30896,52.438,52.44,5.21,5.21,..,2.684760587,3.42891057
2018,YR2018,Burkina Faso,BFA,65.437,44.89,75.1405,0.6445357,6.481005,18.37849,62.368,42.79,4.69,4.69,..,6.604569068,3.693513328
2018,YR2018,Burundi,BDI,79.639,..,86.17698,1.268331,3.46357,10.35943,78.83,..,1.017,..,..,1.609935421,-1.377139622
2018,YR2018,Cabo Verde,CPV,55.56,55.56,11.83828,4.369666,21.88066,66.28106,48.798,48.8,12.17,12.17,..,3.706964583,2.57258285
2018,YR2018,Cambodia,KHM,74.958,..,39.02749,0.1223159,24.96266,36.00985,74.852,..,0.142,..,..,7.469169207,6.164475985
2018,YR2018,Cameroon,CMR,71.924,..,44.38042,3.089725,14.72549,40.89408,69.329,..,3.609,..,..,3.95551424,1.121795216
